	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10
S.01	0	16.99	18846.87	0	0	0	0	0	0	0
S.02	0	0	23.2	0	0	0	0	NA	NA	NA
S.03	0	0	0	7.5	NA	NA	NA	NA	NA	NA
S.04	0	3621.09	0	0	0	1.61	0	3.95	0	0
S.05	0	0	2.88	NA	NA	NA	NA	NA	NA	NA
S.06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.07	0	0	0	0	0	0	0	0	0	0
S.08	0	2.18	0	0	0	0	0	0	0	0
S.09	0	4.9	0	0	0	15.69	0	0	0	44.15
S.10	18.71	0	NA	NA	NA	NA	NA	NA	NA	NA
S.11	0	0	0	0	NA	NA	NA	NA	NA	NA
S.12	0	85.37	0	0	0	0	7.49	NA	NA	NA
S.13	152.74	0	0	0	0	0	0	1.81	NA	NA
S.14	0	0	1.62	0	0	0	0	0	0	0
S.15	0	2.66	15.36	0	0	0	0	0	0	0
S.16	0	0	0	0	0	0	0	NA	NA	NA
S.17	0	0	NA	NA	NA	NA	NA	NA	NA	NA
S.18	1.18	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.20	0	14.29	0	0	NA	NA	NA	NA	NA	NA
S.21	7.28	2107.69	0	4.62	2	0	0	0	0	1.28
S.22	0	0	5.12	23.11	NA	NA	NA	NA	NA	NA
S.23	0	0	447.41	0	NA	NA	NA	NA	NA	NA
S.24	0	0	0	0	0	0	0	0	0	0
S.25	0	0	0	0	0	0	0	0	0	0
S.26	0	0	0	0	0	0	0	0	0	0
S.27	0	0	0	0	0	0	0	0	0	0
S.28	0	0	0	0	0	0	0	0	NA	NA
S.29	0	0	0	0	0	0	0	0	0	0
S.30	0	0	148.91	0	NA	NA	NA	NA	NA	NA
S.31	0	0	0	0	0	0	0	5.13	0	0
S.32	0	0	0	0	0	NA	NA	NA	NA	NA
S.33	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.34	0	0	0	0	0	0	0	1.15	0	0
S.35	2.9	0	1643.47	1.02	0	0	0	0	1945.05	0
S.36	0	0	0	0	0	0	0	0	NA	NA
S.37	0	0	18.8	0	0	0	0	0	0	5.28
S.38	1.04	29.13	0	NA	NA	NA	NA	NA	NA	NA
S.39	0	0	0	0	NA	NA	NA	NA	NA	NA
S.40	0	0	69.79	0	0	0	1.41	0	0	0
S.41	0	0	0	0	0	0	0	NA	NA	NA
S.42	0	0	0	0	0	0	0	0	0	NA
S.43	0	0	0	0	0	0	0	0	0	0
S.44	0	0	0	NA	NA	NA	NA	NA	NA	NA
S.45	0	0	0	0	0	0	0	NA	NA	NA
S.46	0	0	NA	NA	NA	NA	NA	NA	NA	NA
S.47	0	0	0	0	0	0	0	0	0	NA
S.48	0	0	0	0	4.18	0	0	0	3740.5	0
S.49	0	0	0	0	0	0	0	0	NA	NA
S.50	3.75	0	0	NA	NA	NA	NA	NA	NA	NA
