	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10
S.01	4	4	4	4	4	4	4	115	115	115
S.02	4	4	4	4	4	4	4	NA	NA	NA
S.03	16	16	125	125	NA	NA	NA	NA	NA	NA
S.04	16	16	16	16	16	16	16	16	125	125
S.05	29	29	79	NA	NA	NA	NA	NA	NA	NA
S.06	31	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.07	83	83	83	83	83	83	83	83	83	83
S.08	81	81	81	84	84	84	84	84	84	84
S.09	81	81	81	81	81	81	81	81	81	81
S.10	83	83	NA	NA	NA	NA	NA	NA	NA	NA
S.11	29	29	111	111	NA	NA	NA	NA	NA	NA
S.12	31	31	31	31	31	110	110	NA	NA	NA
S.13	30	30	30	111	111	111	111	114	NA	NA
S.14	29	29	29	29	110	110	110	110	114	114
S.15	3	3	3	110	110	110	110	110	110	110
S.16	79	79	79	79	79	79	79	NA	NA	NA
S.17	80	80	NA	NA	NA	NA	NA	NA	NA	NA
S.18	81	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.20	79	79	79	79	NA	NA	NA	NA	NA	NA
S.21	17	17	17	17	17	17	100	100	100	100
S.22	17	17	17	17	NA	NA	NA	NA	NA	NA
S.23	17	17	17	124	NA	NA	NA	NA	NA	NA
S.24	3	3	3	125	125	125	128	128	128	128
S.25	3	3	3	3	3	3	3	3	3	127
S.26	15	15	15	15	15	15	15	15	17	103
S.27	14	14	14	14	14	14	18	104	104	104
S.28	15	15	15	15	15	15	98	104	NA	NA
S.29	98	101	101	101	101	101	101	101	101	101
S.30	98	98	101	101	NA	NA	NA	NA	NA	NA
S.31	85	85	85	85	85	85	85	85	85	85
S.32	97	100	100	100	100	NA	NA	NA	NA	NA
S.33	97	NA	NA	NA	NA	NA	NA	NA	NA	NA
S.34	85	85	85	85	85	85	85	85	85	85
S.35	80	80	80	80	80	80	126	126	127	127
S.36	124	124	124	124	129	129	129	129	NA	NA
S.37	28	28	28	28	28	86	86	86	86	86
S.38	30	114	117	NA	NA	NA	NA	NA	NA	NA
S.39	28	28	28	28	NA	NA	NA	NA	NA	NA
S.40	30	30	30	30	30	30	30	30	30	30
S.41	99	99	99	99	99	99	99	NA	NA	NA
S.42	102	102	102	102	102	102	102	102	102	NA
S.43	99	99	99	99	99	99	102	102	102	102
S.44	99	103	103	NA	NA	NA	NA	NA	NA	NA
S.45	99	99	99	104	104	104	104	NA	NA	NA
S.46	2	2	NA	NA	NA	NA	NA	NA	NA	NA
S.47	1	1	1	1	1	112	112	112	112	NA
S.48	1	1	1	1	1	1	1	1	1	4
S.49	1	1	1	113	113	113	113	113	NA	NA
S.50	2	113	116	NA	NA	NA	NA	NA	NA	NA
