stream	long	lat	altitude	for200	hydro200_length	slope200_sd	ric.mean	edge_forest
S.01	808054.18	7334429.43	757	100	527	10	12.69	0
S.02	807688.79	7334336.65	754.2	100	799	8.6	16.56	0
S.03	806348.72	7334750.94	708	100	516	11.9	10.48	0
S.04	806806.73	7334381.14	701.2	100	836	11.9	14.1	0
S.05	805432.14	7334213.39	695.2	69.43	721	11	8.58	68.6
S.06	806102.88	7334160.2	712.4	100	694	12.6	11.31	0
S.07	795125.37	7331766.16	813.4	53.82	788	8.8	15.67	78.7
S.08	795700.42	7331149.83	803.5	51.19	1121	12.3	16.45	181.1
S.09	795808.21	7331295.24	807.1	64.41	648	10.5	13.86	98.3
S.10	793959.35	7331798.19	756.9	38.09	663	16	10.07	211.9
S.11	804301.86	7334135.99	708.2	50.08	840	11.8	7.96	168.2
S.12	803915.59	7333772.42	724.6	38.06	529	12.9	14.03	176.2
S.13	803360.22	7333859.41	732.3	90.92	517	12.1	11.63	28
S.14	804005.99	7332526.22	733.3	66.93	879	11.9	11.1	47.1
S.15	803169.9	7332078.88	762.7	98.89	770	12.4	10.17	5.1
S.16	798068.27	7332540.32	771.3	44.27	511	6.6	18.66	145.8
S.17	797059.81	7333498.16	738.9	31.53	550	6.3	12.86	192
S.18	796517.56	7332879.26	733.1	71.02	564	7.4	12.24	81.8
S.20	797797.56	7332239.13	747.1	49.92	832	9	14.82	165.1
S.21	800695.04	7335676.53	732.4	84.24	715	8.1	16.35	57.5
S.22	802311.3	7335181.22	777.2	64.3	329	4.1	15.81	124.4
S.23	801260.15	7333476.72	718.1	89.9	864	14	12.61	57.8
S.24	801590.43	7332839.51	760.5	62.87	509	13.1	12.47	105.5
S.25	802128.04	7333048.98	791.2	51.99	552	10.7	14.33	140.4
S.26	807215.15	7336299.87	746.5	100	514	9.7	14.53	0
S.27	806736.93	7338059.65	710.6	79.87	891	7.2	15.64	62.7
S.28	807686.78	7337169.61	741.3	92.12	483	10.6	13.19	20.5
S.29	808814.29	7337179.04	745.1	100	565	9.2	17.22	0
S.30	808268.16	7338529.55	719	58.44	515	7.8	11.6	120.9
S.31	800100.61	7334456.51	770.1	37.58	687	5.8	16.93	197.9
S.32	799478.04	7334030.43	769.7	39.94	480	4.3	13.12	219.9
S.33	798051.81	7334134.52	764.1	51.71	483	4.9	12.01	125.3
S.34	799393.54	7332424.57	799.5	73.33	475	6.4	17.2	69.4
S.35	799331.73	7333303.72	781.4	75.78	1051	8.6	17.13	57.5
S.36	805928.95	7335488.06	750	100	715	13.7	13.03	0
S.37	805641.38	7335069.81	715.5	100	788	13.4	13.35	0
S.38	805162.51	7335694.09	691.1	100	831	16.4	9.13	0
S.39	803184.95	7337300.2	688.4	71.34	691	9.1	11.18	85.6
S.40	804440.84	7337310.37	706.3	30.89	494	4.2	13.14	219.5
S.41	809354.79	7338950.02	732.7	65.61	881	3.8	16.17	134.5
S.42	808716.92	7339797.56	751	54.7	563	4.6	14.94	116.6
S.43	809591.06	7339717.08	733.6	57.4	878	3.8	16.12	154.8
S.44	808709.89	7340760.2	733	58.09	685	4.8	11.69	106.7
S.45	809000.16	7339449.93	725.7	45.78	557	3.7	13.45	149
S.46	806371	7336405.58	752.5	69.69	768	8	13.23	68
S.47	806018.11	7337206.78	711.7	46.34	831	6.5	15.26	229.7
S.48	806086.06	7336552.48	720.9	61.83	930	6	17	114.6
S.49	806329.89	7336938.94	729.3	33.55	443	6.5	13.37	214.9
S.50	805105.75	7338189.58	716.6	55.81	959	7.7	9.53	118.2
